Poskytovateľ,Dataset,Zobrazenia,Rok
Mesto Vranov nad Topľou (OVM),Mesto Vranov nad Topľou (OVM),175,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,174,2023
Ministerstvo kultúry SR,Ministerstvo kultúry SR,173,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",173,2023
Štatistický úrad SR,Štatistický úrad SR,172,2023
Štatistický úrad SR,Štatistický úrad SR,171,2023
Kancelária Národnej rady SR,Kancelária Národnej rady SR,171,2023
Regionálny úrad verejného zdravotníctva Martin,Regionálny úrad verejného zdravotníctva Martin,171,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,170,2023
Slovenská správa ciest,Slovenská správa ciest,170,2023
Regionálny úrad verejného zdravotníctva Prievidza,Regionálny úrad verejného zdravotníctva Prievidza,170,2023
Mesto Prešov,Mesto Prešov,169,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",169,2023
Štatistický úrad SR,Štatistický úrad SR,169,2023
Regionálny úrad verejného zdravotníctva Žiar nad Hronom,Regionálny úrad verejného zdravotníctva Žiar nad Hronom,169,2023
Mesto Prešov,Mesto Prešov,168,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,168,2023
Inštitút vzdelávania veterinárnych lekárov Košice,Inštitút vzdelávania veterinárnych lekárov Košice,168,2023
Regionálny úrad verejného zdravotníctva Trebišov,Regionálny úrad verejného zdravotníctva Trebišov,168,2023
Štatistický úrad SR,Štatistický úrad SR,167,2023
"Agentúra pre rozvoj vidieka, Nitra","Agentúra pre rozvoj vidieka, Nitra",165,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,163,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,162,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",162,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,162,2023
Mesto Prešov,Mesto Prešov,162,2023
"Agentúra pre rozvoj vidieka, Nitra","Agentúra pre rozvoj vidieka, Nitra",162,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,162,2023
Regionálny úrad verejného zdravotníctva Žiar nad Hronom,Regionálny úrad verejného zdravotníctva Žiar nad Hronom,162,2023
Štatistický úrad SR,Štatistický úrad SR,161,2023
Štatistický úrad SR,Štatistický úrad SR,161,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,161,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,161,2023
Štatistický úrad SR,Štatistický úrad SR,158,2023
Múzeum vo Svätom Antone,Múzeum vo Svätom Antone,158,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,158,2023
Slovenská správa ciest,Slovenská správa ciest,158,2023
Ministerstvo zdravotníctva SR,Ministerstvo zdravotníctva SR,157,2023
"Hydromeliorácie, štátny podnik","Hydromeliorácie, štátny podnik",157,2023
Slovenská agentúra životného prostredia Banská Bystrica,Slovenská agentúra životného prostredia Banská Bystrica,157,2023
"Úrad pre normalizáciu, meterológiu a skúšobníctvo Slovenskej republiky","Úrad pre normalizáciu, meterológiu a skúšobníctvo Slovenskej republiky",156,2023
Kancelária Národnej rady SR,Kancelária Národnej rady SR,155,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,155,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,155,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,155,2023
"Úrad pre normalizáciu, meterológiu a skúšobníctvo Slovenskej republiky","Úrad pre normalizáciu, meterológiu a skúšobníctvo Slovenskej republiky",154,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,153,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,152,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,151,2023
"Ministerstvo práce, sociálnych vecí a rodiny SR","Ministerstvo práce, sociálnych vecí a rodiny SR",151,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,151,2023
"Regionálny úrad verejného zdravotníctva, Rožňava","Regionálny úrad verejného zdravotníctva, Rožňava",149,2023
Mesto Prešov,Mesto Prešov,149,2023
Inštitút vzdelávania veterinárnych lekárov Košice,Inštitút vzdelávania veterinárnych lekárov Košice,148,2023
Štatistický úrad SR,Štatistický úrad SR,148,2023
Inštitút vzdelávania veterinárnych lekárov Košice,Inštitút vzdelávania veterinárnych lekárov Košice,147,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,147,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,147,2023
Štatistický úrad SR,Štatistický úrad SR,147,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,146,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",145,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,145,2023
Regionálny úrad verejného zdravotníctva Liptovský Mikuláš,Regionálny úrad verejného zdravotníctva Liptovský Mikuláš,143,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,143,2023
Mesto Prešov,Mesto Prešov,142,2023
Regionálny úrad verejného zdravotníctva Liptovský Mikuláš,Regionálny úrad verejného zdravotníctva Liptovský Mikuláš,142,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,141,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,141,2023
Ministerstvo zdravotníctva SR,Ministerstvo zdravotníctva SR,141,2023
Štatistický úrad SR,Štatistický úrad SR,140,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",140,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,140,2023
Štatistický úrad SR,Štatistický úrad SR,140,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,140,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",139,2023
Štatistický úrad SR,Štatistický úrad SR,139,2023
Mesto Prešov,Mesto Prešov,139,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,138,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,138,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",137,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",137,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,136,2023
Regionálny úrad verejného zdravotníctva Liptovský Mikuláš,Regionálny úrad verejného zdravotníctva Liptovský Mikuláš,136,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",136,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,136,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,135,2023
Regionálny úrad verejného zdravotníctva Žiar nad Hronom,Regionálny úrad verejného zdravotníctva Žiar nad Hronom,135,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,134,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,134,2023
"Lesopoľnohospodársky majetok Ulič, štátny podnik","Lesopoľnohospodársky majetok Ulič, štátny podnik",134,2023
Ministerstvo financií SR,Ministerstvo financií SR,134,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,134,2023
"Ministerstvo práce, sociálnych vecí a rodiny SR","Ministerstvo práce, sociálnych vecí a rodiny SR",133,2023
"Hydromeliorácie, štátny podnik","Hydromeliorácie, štátny podnik",133,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,133,2023
"LESY Slovenskej republiky, štátny podnik","LESY Slovenskej republiky, štátny podnik",132,2023
Inštitút vzdelávania veterinárnych lekárov Košice,Inštitút vzdelávania veterinárnych lekárov Košice,132,2023
Štatistický úrad SR,Štatistický úrad SR,132,2023
Mesto Prešov,Mesto Prešov,132,2023
Mesto Prešov,Mesto Prešov,131,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",131,2023
Štatistický úrad SR,Štatistický úrad SR,130,2023
Národné poľnohospodárske a potravinárske centrum Lužianky,Národné poľnohospodárske a potravinárske centrum Lužianky,130,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,130,2023
Mesto Prešov,Mesto Prešov,129,2023
Slovenská správa ciest,Slovenská správa ciest,129,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,129,2023
Štatistický úrad SR,Štatistický úrad SR,129,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,128,2023
Slovenská správa ciest,Slovenská správa ciest,128,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,128,2023
Úrad vlády SR,Úrad vlády SR,128,2023
Štatistický úrad SR,Štatistický úrad SR,127,2023
Regionálny úrad verejného zdravotníctva Čadca,Regionálny úrad verejného zdravotníctva Čadca,127,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,127,2023
Ministerstvo zdravotníctva SR,Ministerstvo zdravotníctva SR,127,2023
Mesto Prešov,Mesto Prešov,127,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,126,2023
"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky","Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",125,2023
Štatistický úrad SR,Štatistický úrad SR,124,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,123,2023
Mesto Prešov,Mesto Prešov,123,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,123,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,123,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,123,2023
Mesto Prešov,Mesto Prešov,123,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,123,2023
Ministerstvo dopravy a výstavby SR,Ministerstvo dopravy a výstavby SR,123,2023
Regionálny úrad verejného zdravotníctva Čadca,Regionálny úrad verejného zdravotníctva Čadca,122,2023
Slovenská agentúra životného prostredia Banská Bystrica,Slovenská agentúra životného prostredia Banská Bystrica,122,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,122,2023
Štatistický úrad SR,Štatistický úrad SR,122,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",122,2023
Ministerstvo spravodlivosti SR,Ministerstvo spravodlivosti SR,121,2023
Regionálny úrad verejného zdravotníctva Žiar nad Hronom,Regionálny úrad verejného zdravotníctva Žiar nad Hronom,121,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,121,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,121,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,121,2023
Nitriansky samosprávny kraj,Nitriansky samosprávny kraj,121,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,120,2023
Štatistický úrad SR,Štatistický úrad SR,120,2023
Úrad vlády SR,Úrad vlády SR,119,2023
Mesto Prešov,Mesto Prešov,119,2023
Ministerstvo spravodlivosti SR,Ministerstvo spravodlivosti SR,119,2023
Národná agentúra pre sieťové a elektronické služby - NASES,Národná agentúra pre sieťové a elektronické služby - NASES,119,2023
Štatistický úrad SR,Štatistický úrad SR,119,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,119,2023
Mesto Prešov,Mesto Prešov,118,2023
Ministerstvo kultúry SR,Ministerstvo kultúry SR,118,2023
Štatistický úrad SR,Štatistický úrad SR,118,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,117,2023
Múzeum vo Svätom Antone,Múzeum vo Svätom Antone,117,2023
Mesto Prešov,Mesto Prešov,117,2023
Štatistický úrad SR,Štatistický úrad SR,117,2023
"Plemenárske služby Slovenskej republiky, štátny podnik","Plemenárske služby Slovenskej republiky, štátny podnik",117,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,117,2023
"Agentúra pre rozvoj vidieka, Nitra","Agentúra pre rozvoj vidieka, Nitra",116,2023
Mesto Prešov,Mesto Prešov,116,2023
Ministerstvo vnútra SR,Ministerstvo vnútra SR,116,2023
"Národné centrum zdravotníckych informácií, Bratislava","Národné centrum zdravotníckych informácií, Bratislava",115,2023
